2025-05-17 00:31:17.026 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-05-17 00:31:17.026 [info] Added views:outline in workbench.view.explorer
2025-05-17 00:31:17.026 [info] Added views:workbench.view.search in workbench.view.search
2025-05-17 00:31:17.026 [info] Added views:workbench.scm in workbench.view.scm
2025-05-17 00:31:17.026 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-05-17 00:31:17.026 [info] Added views:workbench.panel.output in workbench.panel.output
2025-05-17 00:31:17.026 [info] Added views:terminal in terminal
2025-05-17 00:31:17.026 [info] Added views:timeline in workbench.view.explorer
2025-05-17 00:31:17.027 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-05-17 00:31:17.313 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:31:18.290 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-05-17 00:31:18.824 [info] Added views:workbench.view.testing in workbench.view.extension.test
2025-05-17 00:31:18.880 [info] Added views:dartDependencyTree in workbench.view.explorer
2025-05-17 00:31:18.885 [info] Added views:dartFlutterSidebar,dartFlutterOutline in workbench.view.extension.flutter
2025-05-17 00:31:20.342 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-05-17 00:31:36.281 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2025-05-17 00:31:37.213 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:31:37.284 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:31:50.116 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-17 00:31:50.150 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:32:24.402 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:32:24.442 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:32:33.088 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-17 00:32:33.153 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:33:42.100 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:33:42.130 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:33:51.255 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-17 00:33:51.285 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:46:38.184 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:46:38.203 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:46:51.563 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-17 00:46:51.588 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:48:13.647 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:48:13.667 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:48:23.902 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-17 00:48:23.930 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-17 00:48:42.350 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-17 00:48:42.368 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2025-05-17 00:52:03.566 [info] Removed views:workbench.view.testing from workbench.view.extension.test
