
2025/03/16 (21:33:41) | ===> btop++ v.1.4.0
2025/03/16 (21:33:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (07:59:58) | ===> btop++ v.1.4.0
2025/03/18 (07:59:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (08:55:31) | ===> btop++ v.1.4.0
2025/03/19 (08:55:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (15:30:41) | ===> btop++ v.1.4.0
2025/03/23 (15:30:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (11:55:59) | ===> btop++ v.1.4.0
2025/03/30 (11:55:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (21:17:54) | ===> btop++ v.1.4.0
2025/04/02 (21:17:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (16:35:29) | ===> btop++ v.1.4.0
2025/04/19 (16:35:29) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/19 (16:36:15) | WARNING: Failed to join _runner thread on exit!

2025/04/20 (07:56:13) | ===> btop++ v.1.4.0
2025/04/20 (07:56:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/20 (10:10:23) | ===> btop++ v.1.4.0
2025/04/20 (10:10:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/20 (10:10:38) | WARNING: Failed to join _runner thread on exit!

2025/04/29 (21:53:11) | ===> btop++ v.1.4.0
2025/04/29 (21:53:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/09 (15:44:49) | ===> btop++ v.1.4.0
2025/05/09 (15:44:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/09 (15:45:35) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (07:57:15) | ===> btop++ v.1.4.0
2025/05/12 (07:57:15) | WARNING: Intel GPU: Failed to initialize PMU
2025/05/12 (07:57:43) | WARNING: Failed to join _runner thread on exit!

2025/05/16 (22:08:47) | ===> btop++ v.1.4.0
2025/05/16 (22:08:47) | WARNING: Intel GPU: Failed to initialize PMU
